Country/Territory,UN Region,IMF[4][5],IMF[4][5],World Bank[6],World Bank[6],United Nations[7],United Nations[7]
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
-,-,-,-,-,-,-,-
Bosnia and Herzegovina,Europe,8223,2023,7143,2021,7143,2021
Thailand,Asia,8181,2023,7066,2021,7067,2021
Armenia,Asia,8007,2023,4967,2021,4967,2021
Belarus,Europe,7944,2023,7302,2021,7121,2021
Peru,Americas,7772,2023,6622,2021,6622,2021
Georgia,Asia,7600,[n 6]2023,5023,[n 6]2021,4975,[n 6]2021
North Macedonia,Europe,7384,2023,6695,2021,6600,2021
Botswana,Africa,7270,2023,6805,2021,6805,2021
Albania,Europe,7058,2023,6493,2021,6396,2021
Belize,Americas,7017,2023,6228,2021,6229,2021
Libya,Africa,6763,2023,6357,2021,5791,2021
Azerbaijan,Asia,6757,2023,5388,2021,5296,2021
Ecuador,Americas,6642,2023,5965,2021,5965,2021
South Africa,Africa,6485,2023,7055,2021,7055,2021
Colombia,Americas,6417,2023,6104,2021,6104,2021
Moldova,Europe,6342,[n 7]2023,5231,[n 7]2021,4468,[n 7]2021
Jamaica,Americas,6282,2023,5184,2021,5184,2021
Iraq,Asia,6180,2023,4775,2021,4686,2021
Tuvalu,Oceania,6007,2023,5632,2021,5370,2021
Fiji,Oceania,5887,2023,4647,2021,4647,2021
Paraguay,Americas,5667,2023,5892,2021,6035,2021
Kosovo,Europe,5641,2023,5270,2021,5663,2021
Suriname,Americas,5556,2023,4869,2021,5259,2021
Tonga,Oceania,5421,2023,4426,2021,4451,2021
Guatemala,Americas,5358,2023,5026,2021,4883,2021
El Salvador,Americas,5308,2023,4551,2021,4551,2021
Marshall Islands,Oceania,5164,2023,6172,2021,6111,2021
Namibia,Africa,5100,2023,4866,2021,4836,2021
Jordan,Asia,5048,2023,4103,2021,4058,2021
Indonesia,Asia,5016,2023,4333,2021,4333,2021
Mongolia,Asia,4814,2023,4566,2021,4510,2021
Ukraine,Europe,4654,[n 8]2023,4836,[n 8]2021,4596,[n 8]2021
Algeria,Africa,4481,2023,3691,2021,3700,2021
Vietnam,Asia,4475,2023,3757,2021,3756,2021
Samoa,Oceania,4436,2023,3857,2021,3919,2021
Micronesia,Oceania,4336,2023,3571,2021,3573,2021
Cape Verde,Africa,4278,2023,3293,2021,3293,2021
Iran,Asia,4251,2023,4091,2021,6766,2021
Eswatini,Africa,4146,2023,3978,2021,3969,2021
Lebanon,Asia,3589,2020,4136,2021,6785,2021
Tunisia,Africa,4071,2023,3807,2021,3807,2021
Philippines,Asia,3905,2023,3461,2021,3461,2021
Djibouti,Africa,3802,2023,3150,2021,3348,2021
Bolivia,Americas,3800,2023,3345,2021,3345,2021
Morocco,Africa,3748,2023,3795,2021,3853,2021
Egypt,Africa,3644,2023,3699,2021,3898,2021
Venezuela,Americas,3640,2023,15976,2014,3965,2021
Papua New Guinea,Oceania,3517,2023,2673,2021,2673,2021
Palestine,Asia,3506,[n 9]2023,3664,[n 9]2021,3514,[n 10]2021
Bhutan,Asia,3497,2023,3266,2021,3063,2021
